Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status
arden-modern-outdoor-wall-sconce,Arden Modern Outdoor Wall Sconce,"<p>A slim line of light for the places you arrive home to. The Arden throws a soft, warm wash up and down the wall — grazing texture, marking the entry, and giving patios and garden walls a quiet architectural glow.</p><ul><li>Up-and-down beam pattern that highlights wall texture</li><li>Sealed IP65-class enclosure for rain, dust and outdoor use</li><li>Powder-coated aluminum body that resists fading and corrosion</li><li>Integrated warm-white 3000K LED — no bulbs to buy or change</li><li>Hardwires to a standard exterior junction box; rotatable mount</li></ul><p><em>Confirm exact supplier specifications before launch (enter them on the product page's spec blocks).</em></p>",Heavenly,Outdoor Wall Sconce,"outdoor, sconce, lighting, new, outdoor-lighting, wall-sconces, best-sellers",TRUE,Finish,Textured Black,HN-OUT-ARD-024-BLK,1400,deny,manual,149.00,,TRUE,TRUE,FALSE,Arden Modern Outdoor Wall Sconce — Heavenly,"Slim architectural outdoor wall sconce with warm up-down light, IP65-class aluminum body and integrated 3000K LED. Free shipping on qualifying orders.",active
arden-modern-outdoor-wall-sconce,Arden Modern Outdoor Wall Sconce,"<p>A slim line of light for the places you arrive home to. The Arden throws a soft, warm wash up and down the wall — grazing texture, marking the entry, and giving patios and garden walls a quiet architectural glow.</p><ul><li>Up-and-down beam pattern that highlights wall texture</li><li>Sealed IP65-class enclosure for rain, dust and outdoor use</li><li>Powder-coated aluminum body that resists fading and corrosion</li><li>Integrated warm-white 3000K LED — no bulbs to buy or change</li><li>Hardwires to a standard exterior junction box; rotatable mount</li></ul><p><em>Confirm exact supplier specifications before launch (enter them on the product page's spec blocks).</em></p>",Heavenly,Outdoor Wall Sconce,"outdoor, sconce, lighting, new, outdoor-lighting, wall-sconces, best-sellers",TRUE,Finish,Brushed Bronze,HN-OUT-ARD-024-BRZ,1400,deny,manual,149.00,,TRUE,TRUE,FALSE,Arden Modern Outdoor Wall Sconce — Heavenly,"Slim architectural outdoor wall sconce with warm up-down light, IP65-class aluminum body and integrated 3000K LED. Free shipping on qualifying orders.",active
strata-up-down-outdoor-sconce,Strata Up-Down Outdoor Sconce,"<p>The Strata distils the up-down wall light to its purest form: a compact cylinder that throws two soft beams above and below. Ideal for flanking doors, lining a fence run, or adding rhythm to a garden wall.</p><ul><li>Compact footprint for tight walls</li><li>Warm 3000K up-down beams</li><li>IP65-class weather-sealed aluminum</li><li>Integrated LED module</li></ul>",Heavenly,Outdoor Wall Sconce,"outdoor, sconce, lighting, outdoor-lighting, wall-sconces",TRUE,Title,Default,HN-OUT-STR-012,700,deny,manual,119.00,,TRUE,TRUE,FALSE,Strata Up-Down Outdoor Sconce — Heavenly,"Compact modern outdoor sconce with warm up-down light. Weather-sealed aluminum, integrated LED.",active
vela-opal-dome-pendant,Vela Opal Dome Pendant,"<p>A hand-blown opal glass dome that turns light into soft sculpture. Hang it alone, in pairs over a kitchen island, or as a gentle constellation at different heights.</p><ul><li>Hand-blown opal glass with seamless glow</li><li>Brushed brass hardware</li><li>Adjustable cord length up to 78&quot;</li><li>Dimmable with standard E26/E27 LED bulb</li></ul>",Heavenly,Pendant Light,"indoor, pendant, lighting, new, pendant-lighting",TRUE,Title,Default,HN-IN-VEL-016,1500,deny,manual,189.00,,TRUE,TRUE,FALSE,Vela Opal Dome Pendant — Heavenly,Hand-blown opal glass dome pendant with brushed brass hardware and adjustable cord.,active
meridian-linen-drum-chandelier,Meridian Linen Drum Chandelier,"<p>The Meridian anchors a room without shouting. A wide linen drum diffuses light into a calm, even glow while the brass inner frame catches a quiet highlight.</p><ul><li>Fine woven linen shade with diffuser</li><li>Brushed brass inner frame</li><li>Sloped-ceiling compatible canopy</li><li>Five-bulb, dimmable layout</li></ul>",Heavenly,Chandelier,"indoor, chandelier, lighting, chandeliers",TRUE,Title,Default,HN-IN-MER-032,5700,deny,manual,429.00,,TRUE,TRUE,FALSE,Meridian Linen Drum Chandelier — Heavenly,Wide ivory linen drum chandelier with brushed brass frame. Five dimmable E26/E27 bulbs.,active
aurora-ribbed-table-lamp,Aurora Ribbed Table Lamp,"<p>A bedside favourite. The Aurora's ribbed ceramic base catches light like folded paper, while the linen shade keeps the glow soft enough for late chapters and slow mornings.</p><ul><li>Hand-finished ribbed ceramic base</li><li>Natural linen shade</li><li>In-line dimmer on cord</li></ul>",Heavenly,Table Lamp,"indoor, lamp, lighting, lamps",TRUE,Title,Default,HN-IN-AUR-021,2400,deny,manual,119.00,,TRUE,TRUE,FALSE,Aurora Ribbed Table Lamp — Heavenly,Ribbed ceramic table lamp with natural linen shade and in-line dimmer.,active
halcyon-arc-floor-lamp,Halcyon Arc Floor Lamp,"<p>An arc of calm over the reading chair. The Halcyon leans in gently — a weighted marble base, a slim brass stem, and a focused dome that puts warm light exactly where the evening happens.</p><ul><li>Genuine marble weighted base</li><li>Slim brushed brass arc</li><li>Adjustable dome head</li><li>Foot dimmer on cord</li></ul>",Heavenly,Floor Lamp,"indoor, lamp, lighting, lamps, best-sellers",TRUE,Title,Default,HN-IN-HAL-070,8600,deny,manual,259.00,,TRUE,TRUE,FALSE,Halcyon Arc Floor Lamp — Heavenly,"Arc floor lamp with marble base, brass stem and adjustable black dome shade.",active
cirrus-round-wall-mirror,Cirrus Round Wall Mirror,<p>A perfect circle in a whisper-thin brass frame. The Cirrus doubles daylight in an entryway and softens everything it reflects.</p><ul><li>Slim brushed brass frame</li><li>HD float glass with true reflection</li><li>Hangs vertical or horizontal</li></ul>,Heavenly,Mirror,"indoor, mirror, decor, mirrors",TRUE,Title,Default,HN-DEC-CIR-030,5900,deny,manual,139.00,,TRUE,TRUE,FALSE,Cirrus Round Wall Mirror — Heavenly,Round wall mirror in a whisper-thin brushed brass frame. 30 inches.,active
ora-arch-floor-mirror,Ora Arch Floor Mirror,"<p>A full-length arch that makes small rooms breathe. Lean it, wall-mount it, or dress it in a corner with a trailing plant.</p><ul><li>Full-length arch profile</li><li>Lean or secure wall-mount</li><li>Shatter-resistant backing film</li></ul>",Heavenly,Mirror,"indoor, mirror, decor, mirrors, new",TRUE,Title,Default,HN-DEC-ORA-065,10900,deny,manual,179.00,,TRUE,TRUE,FALSE,Ora Arch Floor Mirror — Heavenly,Full-length arch floor mirror. Lean or wall-mount. Safety-backed glass.,active
terra-hand-loomed-rug,Terra Hand-Loomed Rug,"<p>Woven by hand in a small workshop, the Terra layers quiet texture underfoot. Its undyed wool palette warms up cool floors and grounds rooms that lean modern.</p><ul><li>Hand-loomed undyed wool</li><li>Naturally stain-resistant fibres</li><li>Low pile — fits under most doors</li></ul>",Heavenly,Rug,"indoor, rug, decor, rugs",TRUE,Title,Default,HN-DEC-TER-080,9000,deny,manual,299.00,,TRUE,TRUE,FALSE,Terra Hand-Loomed Rug — Heavenly,"Hand-loomed undyed wool rug, 5 by 8 feet. Warm neutral palette.",active
nimbus-sculptural-vase,Nimbus Sculptural Vase,<p>Cloud-soft curves in a matte ceramic finish. The Nimbus holds dried stems beautifully and stands alone when it holds nothing at all.</p><ul><li>Hand-glazed stoneware</li><li>Watertight interior</li><li>Felted base protects surfaces</li></ul>,Heavenly,Vase,"indoor, accessory, decor, home-accessories, new",TRUE,Title,Default,HN-DEC-NIM-011,1500,deny,manual,59.00,,TRUE,TRUE,FALSE,Nimbus Sculptural Vase — Heavenly,Hand-glazed stoneware vase with soft matte finish. 11 inches.,active
ember-object-trio,Ember Object Trio,"<p>Three quiet forms — sphere, arch, and wave — that finish a shelf like a full stop finishes a sentence. Sold as a coordinated trio.</p><ul><li>Set of three sculptural forms</li><li>Coordinated warm-neutral glazes</li><li>Felted bases</li></ul>",Heavenly,Decorative Objects,"indoor, accessory, decor, home-accessories, decorative-objects",TRUE,Title,Default,HN-DEC-EMB-003,1200,deny,manual,45.00,,TRUE,TRUE,FALSE,Ember Object Trio — Heavenly,Coordinated trio of sculptural ceramic objects in warm neutral glazes.,active
